closing_date,match_name,category,question,market_id
2026-06-11T19:00:00.000Z,MEX vs RSA,Match result,Will Mexico win the match?,912738d1-fab4-4d77-a6c9-8038caf2de6d
2026-06-11T19:00:00.000Z,MEX vs RSA,Goals/BTTS/Totals,Will the match have 2 or fewer total goals?,d432c4f3-a677-40e4-8fbe-e64f03aa4ecb
2026-06-12T02:00:00.000Z,KOR vs CZE,Goals/BTTS/Totals,Will both teams score AND the match have 3 or more total goals?,a9025eb4-f089-49dc-b9af-85e04b4615bb
2026-06-12T02:00:00.000Z,KOR vs CZE,Match result,Will South Korea win the match?,e7d19c59-aa0a-42b7-afe9-5db6ab9e601c
2026-06-12T19:00:00.000Z,CAN vs BIH,Match result,Will Canada win the match?,27a8f2b6-2220-4065-a3e1-acd4899fad9b
2026-06-13T01:00:00.000Z,USA vs PAR,Match result,Will United States win the match?,80b7efe8-2509-496c-acf1-b30196edfe57
2026-06-13T01:00:00.000Z,USA vs PAR,Goals/BTTS/Totals,Will the match have 3 or more total goals?,4b53c9c5-e9b5-4aab-a65a-93513050a97c
2026-06-13T19:00:00.000Z,QAT vs SUI,Goals/BTTS/Totals,Will both teams score AND the match have 3 or more total goals?,157a5c1f-b769-49c6-aec9-c305df9d55de
2026-06-13T19:00:00.000Z,QAT vs SUI,Goals/BTTS/Totals,Will Qatar score at least 1 goal?,6bf2d51d-eda0-48eb-a902-e3a1fb5b7ca6
2026-06-13T22:00:00.000Z,BRA vs MAR,Goals/BTTS/Totals,Will both teams score AND the match have 3 or more total goals?,ee73b2d5-00bd-4ec2-9ebb-e2736692cc35
2026-06-13T22:00:00.000Z,BRA vs MAR,Match result,Will Brazil win the match?,59d22f53-3ee9-44a6-af0e-ab58b39c7dfd
2026-06-14T01:00:00.000Z,Haiti vs SCO,Goals/BTTS/Totals,Will Haiti score at least 1 goal?,37fec408-3084-4038-9ae5-d99cff1afa7b
2026-06-14T01:00:00.000Z,Haiti vs SCO,Goals/BTTS/Totals,Will the match have 2 or fewer total goals?,9f40d93a-86fc-4fb0-8d00-c757e7a51d93
2026-06-14T04:00:00.000Z,AUS vs TUR,Goals/BTTS/Totals,Will both teams score AND the match have 3 or more total goals?,312a3ad2-59b4-4018-ae30-5de804380f94
2026-06-14T04:00:00.000Z,AUS vs TUR,Match result,Will Australia win the match?,b31760ef-6f32-411f-99e1-12fd75797e48
2026-06-14T17:00:00.000Z,GER vs Curacao,Match result,Will Germany win the match?,0cd374c4-b3e1-4a77-a1fc-e2b13430a4db
2026-06-14T17:00:00.000Z,GER vs Curacao,Goals/BTTS/Totals,Will the match have 2 or fewer total goals?,e87dd35c-15aa-4ba1-9941-5b1a8c1992fb
2026-06-14T20:00:00.000Z,NED vs JPN,Goals/BTTS/Totals,Will both teams score AND the match have 3 or more total goals?,f78ed766-6a49-4281-b306-8622031c2d27
2026-06-14T20:00:00.000Z,NED vs JPN,Match result,Will Netherlands win the match?,1169a121-7bb1-453a-a387-70273f4fbadb
2026-06-14T23:00:00.000Z,CIV vs ECU,Match result,Will Ivory Coast win the match?,fa87e071-d211-45ac-9de3-6598fdf34648
