file,match,team_a,team_b,team_a_code,team_b_code,date,tournament,group,game_day,venue_raw,venue_city,venue_country,altitude_m,schema_era,post_match_key_used,final_score,match_total_rbp,settled_date,match_submitted,match_is_calibration_only,elo_team_a_pre,elo_team_b_pre,elo_diff,rest_days_a,rest_days_b,rest_days_diff,squad_value_a_eur,squad_value_b_eur,squad_avg_age_a,squad_avg_age_b,fifa_ranking_2025_a,fifa_ranking_2025_b,draw_probability,poisson_lambda_a,poisson_lambda_b,rules_fired_list,rule_fired_count,rule1_fired,rule2_fired,rule3_fired,rule4_fired,rule5_fired,rule6_fired,rule7_fired,rule8_fired,rule9_fired,rule10_fired,rule11_fired,rule12_fired,rule13_fired,rule14_fired,rule15_fired,question_num,question_text,question_category,confidence,direction,key_drivers,edge_rank,recommended_estimate,our_estimate,submission_diff,submission_error_flag,crowd_estimate,outcome,outcome_known,rbp,beat_crowd,actually_submitted,is_player_prop,player_key,postmortem_note
kor_cze_2026-06-11.json,KOR-CZE,South Korea,Czech Republic,KOR,CZE,2026-06-11,,,,,Zapopan,Mexico,1566.0,1,post_match_results,Korea Republic 2 - 1 Czechia,22.81,2026-06-11,True,False,1879.9769,1806.3989,73.57799999999997,8,7,1,136750000,171500000,28.2,28.0,25,43,0.30298463525226654,1.2677567953222446,0.9713308352128059,,0,,,,,,,,,,,,,,,,Q1,Will both teams score AND the match have 3 or more total goals?,,,,,,,0.4,,False,0.38,1,True,6.44,True,True,False,,
kor_cze_2026-06-11.json,KOR-CZE,South Korea,Czech Republic,KOR,CZE,2026-06-11,,,,,Zapopan,Mexico,1566.0,1,post_match_results,Korea Republic 2 - 1 Czechia,22.81,2026-06-11,True,False,1879.9769,1806.3989,73.57799999999997,8,7,1,136750000,171500000,28.2,28.0,25,43,0.30298463525226654,1.2677567953222446,0.9713308352128059,,0,,,,,,,,,,,,,,,,Q2,Will a penalty kick be awarded in the match?,,medium,,,,0.32,0.42,-0.1,True,0.33,0,True,-3.2,False,True,False,,
kor_cze_2026-06-11.json,KOR-CZE,South Korea,Czech Republic,KOR,CZE,2026-06-11,,,,,Zapopan,Mexico,1566.0,1,post_match_results,Korea Republic 2 - 1 Czechia,22.81,2026-06-11,True,False,1879.9769,1806.3989,73.57799999999997,8,7,1,136750000,171500000,28.2,28.0,25,43,0.30298463525226654,1.2677567953222446,0.9713308352128059,,0,,,,,,,,,,,,,,,,Q3,Will South Korea have more shots on target than Czechia in the second half?,,,,,,,0.6,,False,0.55,1,True,7.21,True,True,False,,
kor_cze_2026-06-11.json,KOR-CZE,South Korea,Czech Republic,KOR,CZE,2026-06-11,,,,,Zapopan,Mexico,1566.0,1,post_match_results,Korea Republic 2 - 1 Czechia,22.81,2026-06-11,True,False,1879.9769,1806.3989,73.57799999999997,8,7,1,136750000,171500000,28.2,28.0,25,43,0.30298463525226654,1.2677567953222446,0.9713308352128059,,0,,,,,,,,,,,,,,,,Q4,Will South Korea win the match?,,,,,,,0.46,,False,0.51,1,True,-0.08,False,True,False,,
kor_cze_2026-06-11.json,KOR-CZE,South Korea,Czech Republic,KOR,CZE,2026-06-11,,,,,Zapopan,Mexico,1566.0,1,post_match_results,Korea Republic 2 - 1 Czechia,22.81,2026-06-11,True,False,1879.9769,1806.3989,73.57799999999997,8,7,1,136750000,171500000,28.2,28.0,25,43,0.30298463525226654,1.2677567953222446,0.9713308352128059,,0,,,,,,,,,,,,,,,,Q5,Will Son Heung-min score a goal (excluding own goals)?,,high,,,,0.28,0.38,-0.1,True,0.4,0,True,6.52,True,True,False,,
kor_cze_2026-06-11.json,KOR-CZE,South Korea,Czech Republic,KOR,CZE,2026-06-11,,,,,Zapopan,Mexico,1566.0,1,post_match_results,Korea Republic 2 - 1 Czechia,22.81,2026-06-11,True,False,1879.9769,1806.3989,73.57799999999997,8,7,1,136750000,171500000,28.2,28.0,25,43,0.30298463525226654,1.2677567953222446,0.9713308352128059,,0,,,,,,,,,,,,,,,,Q6,Will Patrik Schick have at least 1 shot on target?,,medium,,,,0.6,0.65,-0.05,True,0.67,0,True,5.91,True,True,False,,
can_bih_2026-06-12.json,CAN-BIH,Canada,Bosnia and Herzegovina,CAN,BIH,2026-06-12,,,,,Toronto,Canada,76.0,1,post_match_results,Canada 1 - 1 Bosnia-Herzegovina,42.65,2026-06-12,True,False,1901.9781,1652.8208,249.15730000000008,7,6,1,129380005,125599998,26.5,27.0,30,65,0.21041394172394962,1.7419923153324697,0.7068982199339059,,0,,,,,,,,,,,,,,,,Q1,BIH fouls > Canada,,,,,,,0.67,,False,0.64,1,True,5.08,True,True,False,,
can_bih_2026-06-12.json,CAN-BIH,Canada,Bosnia and Herzegovina,CAN,BIH,2026-06-12,,,,,Toronto,Canada,76.0,1,post_match_results,Canada 1 - 1 Bosnia-Herzegovina,42.65,2026-06-12,True,False,1901.9781,1652.8208,249.15730000000008,7,6,1,129380005,125599998,26.5,27.0,30,65,0.21041394172394962,1.7419923153324697,0.7068982199339059,,0,,,,,,,,,,,,,,,,Q2,4+ 2H total SOT,,,,,,,0.7,,False,0.59,1,True,11.76,True,True,False,,
can_bih_2026-06-12.json,CAN-BIH,Canada,Bosnia and Herzegovina,CAN,BIH,2026-06-12,,,,,Toronto,Canada,76.0,1,post_match_results,Canada 1 - 1 Bosnia-Herzegovina,42.65,2026-06-12,True,False,1901.9781,1652.8208,249.15730000000008,7,6,1,129380005,125599998,26.5,27.0,30,65,0.21041394172394962,1.7419923153324697,0.7068982199339059,,0,,,,,,,,,,,,,,,,Q3,Penalty OR red card,,,,,,,0.43,,False,0.41,0,True,2.8,True,True,False,,
can_bih_2026-06-12.json,CAN-BIH,Canada,Bosnia and Herzegovina,CAN,BIH,2026-06-12,,,,,Toronto,Canada,76.0,1,post_match_results,Canada 1 - 1 Bosnia-Herzegovina,42.65,2026-06-12,True,False,1901.9781,1652.8208,249.15730000000008,7,6,1,129380005,125599998,26.5,27.0,30,65,0.21041394172394962,1.7419923153324697,0.7068982199339059,,0,,,,,,,,,,,,,,,,Q4,Canada win,,,,,,,0.75,,False,0.62,0,True,-14.53,False,True,False,,
