date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1931-04-19,Spain,Italy,0,0,Friendly,Bilbao,Spain,FALSE
1931-04-26,Spain,Republic of Ireland,1,1,Friendly,Barcelona,Spain,FALSE
1931-05-14,France,England,5,2,Friendly,Colombes,France,FALSE
1931-11-29,France,Netherlands,3,4,Friendly,Colombes,France,FALSE
1931-12-09,England,Spain,7,1,Friendly,London,England,FALSE
1931-12-13,Republic of Ireland,Spain,0,5,Friendly,Dublin,Irish Free State,FALSE
1932-03-20,Switzerland,France,3,3,Friendly,Bern,Switzerland,FALSE
1932-04-10,France,Italy,1,2,Friendly,Colombes,France,FALSE
1932-04-24,Spain,Yugoslavia,2,1,Friendly,Oviedo,Spain,FALSE
1932-05-01,Belgium,France,5,2,Friendly,Brussels,Belgium,FALSE
1932-05-08,France,Scotland,1,3,Friendly,Colombes,France,FALSE
1932-06-05,Yugoslavia,France,2,1,Friendly,Belgrade,Yugoslavia,FALSE
1932-06-09,Bulgaria,France,3,5,Friendly,Sofia,Bulgaria,FALSE
1932-06-12,Romania,France,6,3,Friendly,Bucharest,Romania,FALSE
1933-02-12,France,Austria,0,4,Friendly,Paris,France,FALSE
1933-03-19,Germany,France,3,3,Friendly,Berlin,Germany,FALSE
1933-03-26,France,Belgium,3,0,Friendly,Colombes,France,FALSE
1933-04-02,Spain,Portugal,3,0,Friendly,Vigo,Spain,FALSE
1933-04-23,France,Spain,1,0,Friendly,Colombes,France,FALSE
1933-04-30,Yugoslavia,Spain,1,1,Friendly,Belgrade,Yugoslavia,FALSE
1933-05-21,Spain,Bulgaria,13,0,Friendly,Madrid,Spain,FALSE
1933-05-25,France,Wales,1,1,Friendly,Colombes,France,FALSE
1933-06-10,Czechoslovakia,France,4,0,Friendly,Prague,Czechoslovakia,FALSE
1933-12-06,England,France,4,1,Friendly,London,England,FALSE
1934-01-21,Belgium,France,2,3,Friendly,Brussels,Belgium,FALSE
1934-02-02,Catalonia,Spain,0,2,Friendly,Barcelona,Spain,FALSE
1934-03-11,France,Switzerland,0,1,Friendly,Paris,France,FALSE
1934-03-11,Spain,Portugal,9,0,FIFA World Cup qualification,Madrid,Spain,FALSE
1934-03-18,Portugal,Spain,1,2,FIFA World Cup qualification,Lisbon,Portugal,FALSE
1934-03-25,France,Czechoslovakia,1,2,Friendly,Colombes,France,FALSE
1934-04-15,Luxembourg,France,1,6,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
1934-05-10,Netherlands,France,4,5,Friendly,Amsterdam,Netherlands,FALSE
1934-05-27,Austria,France,3,2,FIFA World Cup,Turin,Italy,TRUE
1934-05-27,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,TRUE
1934-05-31,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,FALSE
1934-06-01,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,FALSE
1934-12-16,France,Yugoslavia,3,2,Friendly,Paris,France,FALSE
1935-01-24,Spain,France,2,0,Friendly,Madrid,Spain,FALSE
1935-02-17,Italy,France,2,1,Friendly,Rome,Italy,FALSE
1935-03-17,France,Germany,1,3,Friendly,Paris,France,FALSE
1935-04-14,Belgium,France,1,1,Friendly,Brussels,Belgium,FALSE
1935-05-05,Portugal,Spain,3,3,Friendly,Lisbon,Portugal,FALSE
1935-05-12,Germany,Spain,1,2,Friendly,Cologne,Germany,FALSE
1935-05-19,France,Hungary,2,0,Friendly,Colombes,France,FALSE
1935-10-27,Switzerland,France,2,1,Friendly,Geneva,Switzerland,FALSE
1935-11-10,France,Sweden,2,0,Friendly,Paris,France,FALSE
1936-01-12,France,Netherlands,1,6,Friendly,Paris,France,FALSE
1936-01-19,Spain,Austria,4,5,Friendly,Madrid,Spain,FALSE
1936-02-09,France,Czechoslovakia,0,3,Friendly,Paris,France,FALSE
1936-02-23,Spain,Germany,1,2,Friendly,Barcelona,Spain,FALSE
1936-03-08,France,Belgium,3,0,Friendly,Colombes,France,FALSE
1936-05-03,Switzerland,Spain,0,2,Friendly,Bern,Switzerland,FALSE
1936-12-13,France,Yugoslavia,1,0,Friendly,Paris,France,FALSE
1937-01-24,France,Austria,1,2,Friendly,Paris,France,FALSE
1937-02-21,Belgium,France,3,1,Friendly,Brussels,Belgium,FALSE
1937-03-21,Germany,France,4,0,Friendly,Stuttgart,Germany,FALSE
1937-05-23,France,Republic of Ireland,0,2,Friendly,Colombes,France,FALSE
1937-10-10,France,Switzerland,2,1,Friendly,Paris,France,FALSE
1937-10-31,Netherlands,France,2,3,Friendly,Amsterdam,Netherlands,FALSE
1937-11-28,Spain,Portugal,1,2,Friendly,Vigo,Spain,FALSE
1937-12-05,France,Italy,0,0,Friendly,Paris,France,FALSE
1938-01-30,France,Belgium,5,3,Friendly,Paris,France,FALSE
1938-01-30,Portugal,Spain,1,0,Friendly,Lisbon,Portugal,FALSE
1938-03-24,France,Bulgaria,6,1,Friendly,Paris,France,FALSE
1938-05-26,France,England,2,4,Friendly,Colombes,France,FALSE
1938-06-05,France,Belgium,3,1,FIFA World Cup,Colombes,France,FALSE
1938-06-12,France,Italy,1,3,FIFA World Cup,Colombes,France,FALSE
1938-12-04,Italy,France,1,0,Friendly,Naples,Italy,FALSE
1939-01-22,France,Poland,4,0,Friendly,Paris,France,FALSE
1939-03-16,France,Hungary,2,2,Friendly,Paris,France,FALSE
1939-05-18,Belgium,France,1,3,Friendly,Brussels,Belgium,FALSE
1939-05-20,France,Wales,2,1,Friendly,Colombes,France,FALSE
1940-01-28,France,Portugal,3,2,Friendly,Paris,France,FALSE
1941-01-12,Portugal,Spain,2,2,Friendly,Lisbon,Portugal,FALSE
1941-03-16,Spain,Portugal,5,1,Friendly,Bilbao,Spain,FALSE
1941-12-28,Spain,Switzerland,3,2,Friendly,Valencia,Spain,FALSE
1942-03-08,France,Switzerland,0,2,Friendly,Marseille,France,FALSE
1942-03-15,Spain,France,4,0,Friendly,Seville,Spain,FALSE
1942-04-12,Germany,Spain,1,1,Friendly,Berlin,Germany,FALSE
1942-04-19,Italy,Spain,4,0,Friendly,Milan,Italy,FALSE
1944-12-24,France,Belgium,3,1,Friendly,Paris,France,FALSE
1945-03-11,Portugal,Spain,2,2,Friendly,Oeiras,Portugal,FALSE
1945-04-08,Switzerland,France,1,0,Friendly,Lausanne,Switzerland,FALSE
1945-05-06,Spain,Portugal,4,2,Friendly,A Coruña,Spain,FALSE
1945-05-26,England,France,2,2,Friendly,London,England,FALSE
1945-12-06,Austria,France,4,1,Friendly,Vienna,Austria,FALSE
1945-12-15,Belgium,France,2,1,Friendly,Brussels,Belgium,FALSE
1946-04-07,France,Czechoslovakia,3,0,Friendly,Colombes,France,FALSE
1946-04-14,Portugal,France,2,1,Friendly,Oeiras,Portugal,FALSE
1946-05-05,France,Austria,3,1,Friendly,Colombes,France,FALSE
1946-05-19,France,England,2,1,Friendly,Colombes,France,FALSE
1946-06-23,Spain,Republic of Ireland,0,1,Friendly,Madrid,Spain,FALSE
1947-01-26,Portugal,Spain,4,1,Friendly,Oeiras,Portugal,FALSE
1947-03-02,Republic of Ireland,Spain,3,2,Friendly,Dublin,Éire,FALSE
1947-03-23,France,Portugal,1,0,Friendly,Colombes,France,FALSE
1947-05-03,England,France,3,0,Friendly,London,England,FALSE
1947-05-26,France,Netherlands,4,0,Friendly,Colombes,France,FALSE
1947-06-01,France,Belgium,4,2,Friendly,Colombes,France,FALSE
1947-06-08,Switzerland,France,1,2,Friendly,Lausanne,Switzerland,FALSE
1947-10-19,Catalonia,Spain,3,1,Friendly,Barcelona,Spain,FALSE
1947-11-23,Portugal,France,2,4,Friendly,Oeiras,Portugal,FALSE
1948-03-21,Spain,Portugal,2,0,Friendly,Madrid,Spain,FALSE
1948-04-04,France,Italy,1,3,Friendly,Colombes,France,FALSE
1948-05-23,France,Scotland,3,0,Friendly,Colombes,France,FALSE
1948-05-30,Spain,Republic of Ireland,2,1,Friendly,Barcelona,Spain,FALSE
1948-06-06,Belgium,France,4,2,Friendly,Brussels,Belgium,FALSE
1948-06-12,Czechoslovakia,France,0,4,Friendly,Prague,Czechoslovakia,FALSE
1948-06-20,Switzerland,Spain,3,3,Friendly,Zürich,Switzerland,FALSE
1948-10-17,France,Belgium,3,3,Friendly,Colombes,France,FALSE
1949-01-02,Spain,Belgium,1,1,Friendly,Barcelona,Spain,FALSE
1949-03-20,Portugal,Spain,1,1,Friendly,Oeiras,Portugal,FALSE
1949-03-27,Spain,Italy,1,3,Friendly,Madrid,Spain,FALSE
1949-04-23,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,FALSE
1949-04-27,Scotland,France,2,0,Friendly,Glasgow,Scotland,FALSE
1949-05-22,France,England,1,3,Friendly,Colombes,France,FALSE
1949-06-04,France,Switzerland,4,2,Friendly,Colombes,France,FALSE
1949-06-12,Republic of Ireland,Spain,1,4,Friendly,Dublin,Éire,FALSE
1949-06-19,France,Spain,1,5,Friendly,Colombes,France,FALSE
1949-10-09,Yugoslavia,France,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,FALSE
1949-10-30,France,Yugoslavia,1,1,FIFA World Cup qualification,Colombes,France,FALSE
1949-11-13,France,Czechoslovakia,1,0,Friendly,Colombes,France,FALSE
1949-12-11,France,Yugoslavia,2,3,FIFA World Cup qualification,Florence,Italy,TRUE
1950-04-02,Spain,Portugal,5,1,FIFA World Cup qualification,Madrid,Spain,FALSE
1950-04-09,Portugal,Spain,2,2,FIFA World Cup qualification,Oeiras,Portugal,FALSE
1950-05-27,France,Scotland,0,1,Friendly,Colombes,France,FALSE
1950-06-04,Belgium,France,4,1,Friendly,Brussels,Belgium,FALSE
1950-06-25,Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,TRUE
1950-06-29,Chile,Spain,0,2,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
1950-07-02,England,Spain,0,1,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
1950-07-09,Spain,Uruguay,2,2,FIFA World Cup,São Paulo,Brazil,TRUE
1950-07-13,Brazil,Spain,6,1,FIFA World Cup,Rio de Janeiro,Brazil,FALSE
1950-07-16,Spain,Sweden,1,3,FIFA World Cup,São Paulo,Brazil,TRUE
1950-11-01,France,Belgium,3,3,Friendly,Colombes,France,FALSE
1950-12-10,France,Netherlands,5,2,Friendly,Colombes,France,FALSE
1951-02-06,France,Yugoslavia,2,1,Friendly,Paris,France,FALSE
1951-02-18,Spain,Switzerland,6,3,Friendly,Madrid,Spain,FALSE
1951-05-12,Northern Ireland,France,2,2,Friendly,Belfast,Northern Ireland,FALSE
1951-05-16,Scotland,France,1,0,Friendly,Glasgow,Scotland,FALSE
1951-06-03,Italy,France,4,1,Friendly,Genoa,Italy,FALSE
1951-06-10,Belgium,Spain,3,3,Friendly,Brussels,Belgium,FALSE
1951-06-17,Sweden,Spain,0,0,Friendly,Solna,Sweden,FALSE
1951-10-03,England,France,2,2,Friendly,London,England,FALSE
1951-10-14,Switzerland,France,1,2,Friendly,Geneva,Switzerland,FALSE
1951-11-01,France,Austria,2,2,Friendly,Colombes,France,FALSE
1952-03-26,France,Sweden,0,1,Friendly,Paris,France,FALSE
1952-04-20,France,Portugal,3,0,Friendly,Colombes,France,FALSE
1952-05-22,Belgium,France,1,2,Friendly,Brussels,Belgium,FALSE
1952-06-01,Spain,Republic of Ireland,6,0,Friendly,Madrid,Spain,FALSE
1952-06-08,Turkey,Spain,0,0,Friendly,Istanbul,Turkey,FALSE
1952-10-05,France,Germany,3,1,Friendly,Colombes,France,FALSE
1952-10-19,Austria,France,1,2,Friendly,Vienna,Austria,FALSE
1952-11-11,France,Northern Ireland,3,1,Friendly,Colombes,France,FALSE
1952-11-16,Republic of Ireland,France,1,1,Friendly,Dublin,Éire,FALSE
1952-12-07,Spain,Argentina,0,1,Friendly,Madrid,Spain,FALSE
1952-12-25,France,Belgium,0,1,Friendly,Colombes,France,FALSE
1952-12-28,Spain,Germany,2,2,Friendly,Madrid,Spain,FALSE
1953-03-19,Spain,Belgium,3,1,Friendly,Barcelona,Spain,FALSE
1953-05-14,France,Wales,6,1,Friendly,Colombes,France,FALSE
1953-06-11,Sweden,France,1,0,Friendly,Solna,Sweden,FALSE
1953-07-05,Argentina,Spain,1,0,Friendly,Buenos Aires,Argentina,FALSE
1953-07-12,Chile,Spain,1,2,Friendly,Santiago,Chile,FALSE
1953-08-09,Catalonia,Spain,0,6,Friendly,Barcelona,Spain,FALSE
1953-09-20,Luxembourg,France,1,6,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
1953-10-04,Republic of Ireland,France,3,5,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
1953-10-18,Yugoslavia,France,3,1,Friendly,Zagreb,Yugoslavia,FALSE
1953-11-08,Spain,Sweden,2,2,Friendly,Bilbao,Spain,FALSE
1953-11-11,France,Switzerland,2,4,Friendly,Colombes,France,FALSE
1953-11-25,France,Republic of Ireland,1,0,FIFA World Cup qualification,Paris,France,FALSE
1953-12-17,France,Luxembourg,8,0,FIFA World Cup qualification,Paris,France,FALSE
1954-01-06,Spain,Turkey,4,1,FIFA World Cup qualification,Madrid,Spain,FALSE
1954-03-14,Turkey,Spain,1,0,FIFA World Cup qualification,Istanbul,Turkey,FALSE
1954-03-17,Turkey,Spain,2,2,FIFA World Cup qualification,Rome,Italy,TRUE
1954-04-11,France,Italy,1,3,Friendly,Colombes,France,FALSE
1954-05-30,Belgium,France,3,3,Friendly,Brussels,Belgium,FALSE
1954-06-16,France,Yugoslavia,0,1,FIFA World Cup,Lausanne,Switzerland,TRUE
1954-06-19,France,Mexico,3,2,FIFA World Cup,Geneva,Switzerland,TRUE
1954-10-16,Germany,France,1,3,Friendly,Hanover,Germany,FALSE
1954-11-11,France,Belgium,2,2,Friendly,Colombes,France,FALSE
1955-03-17,Spain,France,1,2,Friendly,Madrid,Spain,FALSE
1955-04-03,France,Sweden,2,0,Friendly,Colombes,France,FALSE
1955-05-15,France,England,1,0,Friendly,Colombes,France,FALSE
1955-05-18,Spain,England,1,1,Friendly,Madrid,Spain,FALSE
1955-06-19,Switzerland,Spain,0,3,Friendly,Geneva,Switzerland,FALSE
1955-10-09,Switzerland,France,1,2,Friendly,Basel,Switzerland,FALSE
1955-10-23,Russia,France,2,2,Friendly,Moscow,Soviet Union,FALSE
1955-11-11,France,Yugoslavia,1,1,Friendly,Colombes,France,FALSE
1955-11-27,Republic of Ireland,Spain,2,2,Friendly,Dublin,Republic of Ireland,FALSE
1955-11-30,England,Spain,4,1,Friendly,London,England,FALSE
1955-12-25,Belgium,France,2,1,Friendly,Brussels,Belgium,FALSE
1956-02-15,Italy,France,2,0,Friendly,Bologna,Italy,FALSE
1956-03-25,France,Austria,3,1,Friendly,Colombes,France,FALSE
1956-06-03,Portugal,Spain,3,1,Friendly,Oeiras,Portugal,FALSE
1956-10-07,France,Hungary,1,2,Friendly,Colombes,France,FALSE
1956-10-21,France,Russia,2,1,Friendly,Colombes,France,FALSE
1956-11-11,France,Belgium,6,3,FIFA World Cup qualification,Colombes,France,FALSE
1957-01-30,Spain,Netherlands,5,1,Friendly,Madrid,Spain,FALSE
1957-03-10,Spain,Switzerland,2,2,FIFA World Cup qualification,Madrid,Spain,FALSE
1957-03-31,Belgium,Spain,0,5,Friendly,Brussels,Belgium,FALSE
1957-05-08,Scotland,Spain,4,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
1957-05-26,Spain,Scotland,4,1,FIFA World Cup qualification,Madrid,Spain,FALSE
1957-06-02,France,Iceland,8,0,FIFA World Cup qualification,Nantes,France,FALSE
1957-09-01,Iceland,France,1,5,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
1957-10-06,Hungary,France,2,0,Friendly,Budapest,Hungary,FALSE
1957-10-27,Belgium,France,0,0,FIFA World Cup qualification,Brussels,Belgium,FALSE
1957-11-24,Switzerland,Spain,1,4,FIFA World Cup qualification,Lausanne,Switzerland,FALSE
1957-11-27,England,France,4,0,Friendly,London,England,FALSE
1957-12-25,France,Bulgaria,2,2,Friendly,Colombes,France,FALSE
1958-03-13,France,Spain,2,2,Friendly,Paris,France,FALSE
1958-03-19,Germany,Spain,2,0,Friendly,Frankfurt,Germany,FALSE
1958-04-13,Spain,Portugal,1,0,Friendly,Madrid,Spain,FALSE
1958-04-16,France,Switzerland,0,0,Friendly,Paris,France,FALSE
1958-06-08,France,Paraguay,7,3,FIFA World Cup,Norrköping,Sweden,TRUE
1958-06-11,France,Yugoslavia,2,3,FIFA World Cup,Västerås,Sweden,TRUE
1958-06-15,France,Scotland,2,1,FIFA World Cup,Örebro,Sweden,TRUE
1958-06-19,France,Northern Ireland,4,0,FIFA World Cup,Norrköping,Sweden,TRUE
1958-06-24,Brazil,France,5,2,FIFA World Cup,Solna,Sweden,TRUE
1958-06-28,France,Germany,6,3,FIFA World Cup,Gothenburg,Sweden,TRUE
1958-10-01,France,Greece,7,1,UEFA Euro qualification,Paris,France,FALSE
1958-10-05,Austria,France,1,2,Friendly,Vienna,Austria,FALSE
1958-10-15,Spain,Northern Ireland,6,2,Friendly,Madrid,Spain,FALSE
1958-10-26,France,Germany,2,2,Friendly,Colombes,France,FALSE
1958-11-09,France,Italy,2,2,Friendly,Colombes,France,FALSE
1958-12-03,Greece,France,1,1,UEFA Euro qualification,Athens,Greece,FALSE
1959-02-28,Italy,Spain,1,1,Friendly,Rome,Italy,FALSE
1959-03-01,France,Belgium,2,2,Friendly,Colombes,France,FALSE
1959-06-28,Poland,Spain,2,4,UEFA Euro qualification,Chorzów,Poland,FALSE
1959-10-11,Bulgaria,France,1,0,Friendly,Sofia,Bulgaria,FALSE
1959-10-14,Spain,Poland,3,0,UEFA Euro qualification,Madrid,Spain,FALSE
1959-11-11,France,Portugal,5,3,Friendly,Colombes,France,FALSE
1959-11-22,Spain,Austria,6,3,Friendly,Valencia,Spain,FALSE
1959-12-13,France,Austria,5,2,UEFA Euro qualification,Colombes,France,FALSE
1959-12-17,France,Spain,4,3,Friendly,Paris,France,FALSE
1960-02-28,Belgium,France,1,0,Friendly,Brussels,Belgium,FALSE
1960-03-13,Spain,Italy,3,1,Friendly,Barcelona,Spain,FALSE
1960-03-16,France,Chile,6,0,Friendly,Paris,France,FALSE
1960-03-27,Austria,France,2,4,UEFA Euro qualification,Vienna,Austria,FALSE
1960-05-15,Spain,England,3,0,Friendly,Madrid,Spain,FALSE
1960-07-06,France,Yugoslavia,4,5,UEFA Euro,Paris,France,FALSE
1960-07-09,France,Czechoslovakia,0,2,UEFA Euro,Marseille,France,FALSE
1960-07-10,Peru,Spain,1,3,Friendly,Lima,Peru,FALSE
1960-07-14,Chile,Spain,0,4,Friendly,Santiago,Chile,FALSE
1960-07-17,Chile,Spain,1,4,Friendly,Santiago,Chile,FALSE
1960-07-24,Argentina,Spain,2,0,Friendly,Buenos Aires,Argentina,FALSE
1960-09-25,Finland,France,1,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
1960-09-28,Poland,France,2,2,Friendly,Warsaw,Poland,FALSE
1960-10-12,Switzerland,France,6,2,Friendly,Basel,Switzerland,FALSE
1960-10-26,England,Spain,4,2,Friendly,London,England,FALSE
1960-10-30,Austria,Spain,3,0,Friendly,Vienna,Austria,FALSE
1960-10-30,Sweden,France,1,0,Friendly,Solna,Sweden,FALSE
1960-12-11,France,Bulgaria,3,0,FIFA World Cup qualification,Colombes,France,FALSE
1961-03-15,France,Belgium,1,1,Friendly,Paris,France,FALSE
1961-04-02,Spain,France,2,0,Friendly,Madrid,Spain,FALSE
1961-04-19,Wales,Spain,1,2,FIFA World Cup qualification,Cardiff,Wales,FALSE
1961-05-18,Spain,Wales,1,1,FIFA World Cup qualification,Madrid,Spain,FALSE
1961-06-11,Spain,Argentina,2,0,Friendly,Seville,Spain,FALSE
1961-09-28,France,Finland,5,1,FIFA World Cup qualification,Paris,France,FALSE
1961-10-18,Belgium,France,3,0,Friendly,Brussels,Belgium,FALSE
1961-11-12,Bulgaria,France,1,0,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
1961-11-12,Morocco,Spain,0,1,FIFA World Cup qualification,Casablanca,Morocco,FALSE
1961-11-23,Spain,Morocco,3,2,FIFA World Cup qualification,Madrid,Spain,FALSE
1961-12-10,France,Spain,1,1,Friendly,Colombes,France,FALSE
